ISO2,Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AL,Albania,0.0,26.988,,,,0.0,,,,83.882,,,42.556,,0.0,21.559,1.025,0.0,0.0,,0.0,0.0,50.05,0.0,0.23,12.61,,0.0,,8.573,153.955,,0.0,0.0,0.0,0.0,16.111,78.715,0.0,0.0,0.0,79.472,1.2,0.0,0.616
AT,Austria,,0.212,1.849,1.742,0.0,0.0,,446.17,,,551.879,197.074,0.142,1.627,3.149,5.826,6.749,331.556,,136.959,308.939,1.045,4486.759,414.77,0.661,938.872,736.244,457.635,625.14,701.027,1699.357,,26.932,1176.376,0.0,0.0,30.056,1245.868,815.351,630.065,248.38,868.154,219.994,409.337,2031.507
BA,Bosnia and Herzegovina,,,,,,,,0.0,,11.249,,,,,,,0.0,,,0.0,387.459,0.0,,442.598,24.39,0.0,,0.0,,0.114,487.856,,1531.569,,1727.756,215.385,,,,22.109,15.842,0.528,5.559,10.596,457.528
BE,Belgium,,,,0.0,,0.0,,0.0,,,1510.549,,,22.76,30.844,133.153,4.206,,15.374,84.74,0.987,1.028,8.09,0.768,0.709,77.764,0.0,502.586,42.385,0.0,605.672,98.242,,0.249,783.258,38.908,318.733,31.56,256.712,296.038,616.864,11653.026,945.751,121.135,202.094
BG,Bulgaria,,,,,,,,,,,0.0,644.312,,,,,27.452,2.789,2.906,10.05,64.077,0.0,3.099,,1.265,2588.069,1.103,4.015,0.0,,0.0,,6.042,,1421.449,1293.769,0.0,142.59,0.0,,6.839,2.221,42.471,24.802,2.38
HR,Croatia,,,0.0,,,,,,,0.0,,,,,,,,,18.0,,566.56,0.0,5.347,917.82,29.687,8.44,0.708,0.0,,0.0,779.669,,205.353,5.594,809.422,211.868,4.47,190.887,361.229,0.0,65.884,0.0,382.809,159.675,18.902
CY,Cyprus,,0.0,,,0.0,0.0,,,25.195,,,,,,0.0,,,0.0,0.0,,0.0,,,13.36,,,0.0,0.0,191.149,3.034,,,,,,,217.851,0.0,,,0.0,5.813,0.0,0.773,1.839
CZ,Czechia,,899.67,0.0,,0.0,9.783,0.0,97.746,0.0,,0.0,0.0,,0.0,0.0,0.0,95.681,5792.022,136.997,,1034.187,54.712,5420.62,0.0,0.0,0.0,679.114,278.985,52.317,535.729,873.047,,51.196,1111.898,18.09,0.0,69.725,744.533,158.794,,183.148,686.894,79.34,21.595,2624.989
DK,Denmark,,849.529,,0.0,,,,,,,314.456,0.311,1125.694,10.177,,5.308,,,,4257.724,97.927,,0.0,,0.611,6.062,66.885,106.563,,,119.337,922.615,,1046.345,91.144,,,0.0,91.119,0.0,61.83,0.0,4.473,168.79,
EE,Estonia,,,,,,,,,,,,,,,,,,,,,16.231,,,20.751,,251.522,0.0,,,,59.635,,,,,,,,,,0.0,0.0,0.0,3.95,
FI,Finland,,,,,371.621,,,1362.486,0.532,0.0,7.293,,,,,,,,,,0.0,22.485,,0.0,2.308,156.495,0.64,30.903,,,153.864,158.127,7.612,,0.0,,,,0.0,,98.231,49.845,0.0,,0.0
FR,France,164.598,56.956,522.888,3567.255,0.0,407.413,88.229,2787.914,1163.134,2666.51,5574.625,1465.513,1437.738,2949.509,12383.075,2741.947,896.883,616.15,949.29,19205.121,1191.561,927.059,2253.656,6819.891,51.419,3593.64,254.623,570.758,538.388,3205.404,5377.381,2344.975,1709.488,1918.788,2936.686,828.798,3060.824,6433.012,3468.401,5807.408,4848.404,6203.433,8914.862,3258.412,1941.558
DE,Germany,68.461,471.838,14.42,257.557,4093.176,1203.016,70.397,88.693,173.836,124.953,7304.442,122.779,342.265,1915.783,2349.118,701.935,348.745,746.808,474.304,4055.086,424.643,1056.988,23446.727,2649.907,1551.927,1885.094,1251.987,6541.771,2930.204,1382.511,6176.353,1060.107,163.225,15771.5,3266.505,3043.938,4060.746,5884.512,10456.921,8513.043,1661.203,40126.105,11314.261,2229.694,5130.224
EL,Greece,9.024,,0.0,0.0,,0.0,,835.061,0.0,0.0,4162.292,0.0,0.0,8.893,707.349,,2.221,204.052,948.435,0.982,5.706,81.454,38.988,1520.145,373.755,0.0,491.796,1557.825,0.0,94.736,1.343,,0.0,16.957,5.332,477.908,58.325,134.999,76.33,302.882,1165.104,670.708,21.577,3996.354,340.964
HU,Hungary,0.0,,,,0.0,,3151.708,,,8.345,,,1697.172,,,,0.0,23.684,57.182,1301.315,141.177,417.832,55.437,794.751,5.566,128.362,883.555,0.0,0.0,,1290.098,32.286,34.903,36.076,28.669,32.945,11.456,29.416,8.196,14.06,11.047,35.51,2528.84,31.499,21.757
IS,Iceland,,,,0.0,,,,,,,,,,,,,20.823,,,,,,,,,,3.198,,,,,,3.424,,,,,,,,0.0,0.0,0.0,,
IE,Ireland,23.207,,,0.0,0.0,,30.304,,179.856,,206.781,6.473,,71.253,316.05,25.861,1.612,60.298,0.079,175.493,188.819,,105.136,,68.484,,3.601,0.557,121.191,309.563,0.0,322.423,,120.441,923.564,455.291,,310.62,45.026,53.463,221.613,0.0,0.0,272.17,213.784
IT,Italy,99.976,1213.622,5545.527,773.4,394.13,361.471,570.846,4558.272,39.168,10.365,1679.554,557.894,2395.936,1003.934,5313.705,636.107,805.026,1196.934,75.909,1114.349,15531.42,576.422,1365.504,8643.613,527.955,837.013,585.837,204.633,820.885,2273.861,1451.644,2598.612,2243.066,2147.655,2391.711,3940.426,2258.846,13557.94,5864.49,5409.005,2791.592,703.393,18111.513,16071.789,5971.533
LV,Latvia,,83.178,,,,,,,,,,,,,,,,,,1.312,,0.0,,0.0,,543.288,0.0,,,,,,,7.314,,,,495.829,121.289,,0.114,,0.036,17.651,31.752
LI,Liechtenstein,,,,,,,,,,,,,,,,,,,,21.195,,,,,,0.0,,,,,,,,,,,,,,,1.099,,0.0,,
LT,Lithuania,,44.172,,,,,,,,,,,765.894,42.786,9.899,,,,,1.48,,0.0,9.409,,,57.66,359.661,,,,5.729,,0.0,,,,0.233,1179.077,,,0.0,,0.65,481.632,9.993
LU,Luxembourg,,,,,,,,,,,847.463,,,21.18,,18.692,,,,,,,,0.0,,,,,,0.0,35.57,0.0,,,,,61.729,,6.681,171.724,21.699,199.814,0.0,,24.764
MT,Malta,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,51.078,,,,,,,,1.403,0.0,0.0,,,,,,28.192,,,0.0,1.893,
NL,Netherlands,,0.0,,,0.0,,,,,,3280.25,,45.967,237.343,3.469,1732.834,,0.0,1000.752,,,,489.659,0.771,64.321,129.578,0.0,674.849,114.88,154.175,0.0,101.344,0.0,285.845,109.708,413.537,1090.344,,850.087,49.626,566.991,846.587,821.956,119.37,56.372
ME,Montenegro,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,5.111,,0.0,,0.0,29.115,,11.549,,,,1.476,,,,0.0,0.0,0.486,,34.976
MK,North Macedonia,,,,,,,,,,,,,,25.383,,463.783,,,,,35.151,0.0,0.0,0.0,28.614,0.0,0.0,0.0,,,49.911,,,16.84,,31.766,92.773,,,,,0.0,,,81.309
NO,Norway,11.453,28.518,14.899,11.985,,7.813,,427.958,63.627,24.91,242.738,,717.765,87.331,56.225,505.369,42.106,0.0,,,74.421,26.756,,15.108,6.443,172.144,37.971,21.903,7.612,,,262.989,85.008,199.873,52.902,178.125,146.49,131.789,79.403,83.174,27.501,103.123,57.592,382.52,65.97
PL,Poland,3165.561,,896.176,334.825,,1695.543,,828.884,,,324.325,23.728,0.0,,2.511,4.03,0.0,7711.616,1.03,21.63,0.0,1752.931,4.725,624.642,343.604,9.446,62.679,118.222,108.49,118.809,5247.77,0.0,7.003,0.0,,0.0,0.0,86.826,966.247,0.0,451.046,32.775,0.823,0.607,2938.263
PT,Portugal,,0.0,2.409,876.434,,410.493,0.0,,0.0,0.0,0.0,0.0,,,0.0,,126.692,60.33,,,0.0,0.0,0.0,5005.617,1685.117,2023.194,0.0,,0.0,44.75,1639.101,0.0,0.0,760.367,0.0,6.898,289.93,2380.161,188.738,636.921,105.785,3.087,1242.322,43.351,121.506
RO,Romania,0.0,,,,,0.0,,,,,,419.514,,0.0,14.196,49.198,51.102,492.94,542.238,1061.734,3488.393,890.013,1.026,1303.695,105.29,4283.231,857.106,384.089,679.508,0.0,1625.794,,33.367,14.018,921.25,3976.762,0.0,44.08,503.883,0.0,523.087,34.918,1247.017,16.914,399.752
SK,Slovakia,,,,,,,,3.659,,,,,,39.264,,,30.857,201.253,117.418,526.743,0.0,29.138,81.344,295.281,689.465,1.016,79.339,0.686,0.505,,48.829,,,15.482,,0.0,,,86.115,33.875,21.59,41.474,87.753,4.066,114.121
SI,Slovenia,0.0,,,0.0,,,97.366,,,0.0,2040.508,23.069,437.235,422.368,112.738,88.231,,103.309,330.92,27.41,167.039,104.013,,230.006,99.924,84.748,76.839,453.461,149.227,34.779,346.296,,672.12,,1488.151,0.0,,224.335,,207.411,9.522,0.115,172.651,10242.857,33.393
RS,Serbia,0.0,86.405,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,291.179,841.345,0.0,0.0,,,121.39,63.398,1336.738,,35.309,537.379,752.881,4493.86,0.0,1807.055,18.594,213.965,1978.535,5.927,38.119,67.449,11.093,1082.032,344.936,1065.288
ES,Spain,3915.235,4035.568,3608.563,15456.414,4052.7,81.22,50.202,2689.593,1256.007,2705.926,6803.142,123.35,286.93,117.28,429.747,2402.563,1667.91,474.334,221.331,6079.757,1210.933,363.107,244.197,1210.153,101.243,2888.894,960.935,583.831,80.514,1978.618,1393.446,186.476,382.332,42.536,34.253,255.1,524.528,459.909,2262.495,5279.055,2512.762,3023.596,11574.097,7346.221,18220.144
SE,Sweden,,,,,,9.898,,0.0,,,11.658,,,,,0.0,,4.855,,212.462,10.897,0.0,0.842,0.0,14.955,2767.254,0.551,0.0,0.46,,0.0,,0.0,113.823,203.479,17.13,,,96.559,154.16,69.345,47.684,0.0,95.127,
CH,Switzerland ,0.0,10.092,45.77,30.932,82.829,61.73,516.321,3702.243,232.295,1.37,924.324,0.0,246.209,841.815,296.525,2.333,0.0,185.862,88.772,3932.938,939.823,37.18,190.949,460.294,18.506,4997.659,45.597,939.064,0.714,1178.321,48.228,104.606,0.228,374.058,108.67,9.122,66.724,418.059,161.939,195.659,144.735,389.189,19.166,435.583,262.657
TR,Türkiye,34.781,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,269.072,46.016,183.726,0.0,0.0,132.933,0.0,0.0,2786.736,0.0,57.564,46.465,31.79,0.0,1.248,19.003,403.629,0.0,0.0,1320.568,11.325,0.0,50.997,0.0,0.0,12.051,0.0,709.73,12.795,167.3,396.245,822.953,326.74,104.952,29.305
XK,Kosovo*,,,,,,,,,,,,,,,,,,,,,,,2.029,0.0,,,0.0,0.0,0.0,,0.0,0.277,0.0,0.0,1.614,1.961,0.0,,,,0.0,0.994,0.0,14.486,2.237
