Year,meteorological,hydrological,climatological
1980,11.453,3582.371,3898.472
1981,260.147,2578.625,4967.976
1982,32.129,5382.006,5238.366
1983,379.104,20513.319,418.121
1984,7851.821,1142.635,0.0
1985,32.502,2180.041,2035.837
1986,482.314,845.3,3247.759
1987,6687.078,9779.115,1362.486
1988,445.135,2688.515,0.0
1989,1782.009,1123.154,2732.347
1990,18626.744,3363.541,14065.066
1991,94.836,2142.607,1392.59
1992,1815.783,3636.801,4272.645
1993,3544.466,3709.189,565.0310000000001
1994,1771.823,19906.683,350.094
1995,4533.911,3805.885,1331.866
1996,156.052,2972.857,1000.181
1997,307.629,16182.176,1718.987
1998,979.823,5219.348,1568.502
1999,30258.926,6872.162,5388.571
2000,1214.41,20674.355,4896.494
2001,1764.583,4503.297,120.748
2002,5806.145,32118.147,371.091
2003,1261.203,5692.084,24481.732
2004,2628.923,1396.6,1772.174
2005,6453.666,14945.848,7188.045
2006,958.938,4505.049,2443.009
2007,9260.491,2426.554,3082.029
2008,4057.904,2126.46,279.205
2009,7547.676,5423.14,409.065
2010,7236.994,19777.008,3233.702
2011,1812.471,5504.999,1629.893
2012,933.486,2237.363,8548.425
2013,10663.905,14509.193,8.937
2014,7549.151,11437.154999999999,144.362
2015,4474.803,6783.71,4201.769
2016,1953.922,9837.725,803.688
2017,11378.838,4083.4880000000003,21430.656
2018,15735.843,2981.4480000000003,8227.436
2019,8813.873,9804.829,9474.587
2020,12582.636,2483.3790000000004,1848.936
2021,9836.324999999999,50570.645,6235.534
2022,8978.482,4218.474,46009.015
2023,10755.229000000001,26878.137,8799.371
2024,4242.3460000000005,31605.085,6604.046
